name,state,description,tags
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME):  Assistance for Saving in Consumption of Energy and Water",Gujarat,"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.","['Business', 'Entrepreneurship', 'MSMEs', 'Start Up']"
"Goa State Employment Subsidy Scheme for the Industries, 2008",Goa,"""Goa State Employment Subsidy Scheme for the Industries, 2008"" aimed to promote industrial growth, revive sick units, and provide employment to local youths. Additional subsidies and incentives were given to eligible manufacturing units, with a focus on local employment and industrial development.","['Employment', 'Entrepreneur', 'Incentive', 'Industry', 'Subsidy']"
"Incentives to Women Entrepreneurs Scheme, 2008",Goa,"""Incentives to Women Entrepreneurs Scheme, 2008"" aimed to encourage women entrepreneurship and promote self-employment by providing additional incentives such as interest subsidies and preferential treatment under capital contribution schemes. The scheme benefited women-owned industrial units.","['Entrepreneur', 'Incentive', 'Industry', 'Subsidy', 'Woman']"
Market Development Assistance to MSMEs: Assistance to Organizers for Organizing Industrial Exhibitions in Gujarat,Gujarat,"The scheme ""Assistance to Organizers for Organizing Industrial Exhibitions in Gujarat"" under the ""Market Development Assistance to MSMEs"" aims to provide financial assistance to organizers of industrial exhibitions in Gujarat.","['Entrepreneurship', 'Exhibition', 'MSMEs', 'Start Up']"
Self-Employment Scheme: Nana Vyavasay Mate Loan Yojana,Gujarat,"""Nana Vyavasay Mate Loan Yojana"" is a component under the ""Self-Employment Scheme"" that provides financial assistance in the form of a loan to establish or expand small businesses such as grocery shops, medical stores, bookstores, etc.","['Business', 'Entrepreneurship', 'Loan', 'Self Employment']"
Gujarat Textile Policy: Payroll Assistance,Gujarat,"The ""Gujarat Textile Policy"" introduced by the Industries and Mines Department aims to create a vibrant Textile Sector ecosystem and generate enormous employment opportunities in the State.","['Business', 'Entrepreneurship', 'MSMEs', 'Textile Industry']"
Gujarat Textile Policy: Assistance for Saving in Consumption of Energy and Water,Gujarat,"The ""Gujarat Textile Policy"" introduced by the Industries and Mines Department aims to create a vibrant Textile Sector ecosystem and generate enormous employment opportunities in the State.","['Business', 'Entrepreneurship', 'MSMEs', 'Textile Industry']"
Schemes for welfare of School Children belonging to BPL and BC(A) families: Monthly Stipend for BC-A Students,Haryana,"The scheme aims to provide financial assistance to students from Backward Classes (BC-A) families to support their education. Under this scheme, eligible students studying in Classes 1 to 12 in Haryana Government schools receive a monthly stipend.","['Backward Classes', 'Scholarship', 'Stipend', 'Student']"
Interest Subvention against long terms loan to the Co-operative sugar societies (Normal Area) (Tribal Area),Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide interest subvention on long-term loans taken by sugar cooperative societies for payment of sugarcane arrears for the year 2018-19.","['Agriculture', 'Farmer', 'Interest Subvention', 'Sugar Co-operatives', 'Terms Loan']"
AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support farmers in Gujarat by facilitating access to farm implements and mechanization.","['Agriculture', 'Agro Service Providers', 'Farm Mechanization']"
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Incentive for Common Effluent Treatment Plant (CETP),West Bengal,"The “Incentive for Common Effluent Treatment Plant (CETP)” under the “SAIP for MSMEs” scheme, aims to provide reimbursement for installation of CETP, wherever applicable, based on land area of AIP.","['Common Effluent Treatment Plant', 'Entrepreneurship', 'Industrial Park', 'MSMEs', 'Subsidy']"
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Reimbursement of Stamp Duty,West Bengal,"“Reimbursement of Stamp Duty” under the “SAIP for MSMEs” scheme, aims to provide reimbursement of stamp duty paid by the SPV for registration of land documents.","['Entrepreneurship', 'Fiscal Incentives', 'Industrial Park', 'MSMEs', 'Stamp Duty']"
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Incentive for Basic and Essential Common Infrastructure Facilities,West Bengal,"The “Incentive for Basic and Essential Common Infrastructure Facilities” under the “SAIP for MSMEs” scheme, aims to provide one time back-ended incentive for development of Basic and Essential Common Infrastructure Facilities based on land area.","['Entrepreneurship', 'Fiscal Incentives', 'Industrial Park', 'Infrastructure Facilities']"
The West Bengal Incentive Scheme: Capacity Utilisation,West Bengal,"“Capacity Utilisation” incentives under the “The West Bengal Incentive Scheme” implemented by the Dept. of Tourism, Government of West Bengal, aims to provide additional Floor Area Ratio (FAR) over and above the maximum permissible FAR as may be fixed by the competent authority.","['Capacity Utilisation', 'Entrepreneurship', 'Incentives', 'Tourism']"
Scheme of Assistance for Management of Stray Cattle,Gujarat,This scheme provides financial support to local self-government bodies and registered Panjrapoles to reduce or eradicate the problem of stray cattle by encouraging their maintenance and proper care.,"['Agriculture', 'Animal Husbandry', 'Stray Cattle']"
Scheme for Management and Purchase of Bulls Provided for Breeding of State Gir/ Kankarej Breed,Gujarat,The scheme provides financial assistance to registered Gaushalas for rearing purebred Gir or Kankrej male cow calves with high genetic quality to promote pure breeding in indigenous cattle.,"['Agriculture', 'Animal Husbandry', 'Breeding', 'Milk Production']"
Scheme to Give Incentive-Prize to Gaushala/ Panjrapole,Gujarat,"The ""Scheme to Give Incentive-Prize to Gaushala/ Panjrapole"" focuses on enhancing the management and operation of Gaushalas and Panjrapoles by offering incentive prizes to the top performers.","['Agriculture', 'Animal Husbandry', 'Incentive']"
Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole,Gujarat,"""Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole"" aims to support animal welfare organizations like gaushalas and panjrapoles by offering financial assistance for the development and construction of essential infrastructure.","['Agriculture', 'Animal Husbandry', 'Animal Welfare', 'Infrastructural Facilities']"
Finance Assistant to PACS for Computerization and Integration of PACS through Core Banking System with District Cooperative Banks,Gujarat,"The scheme provides financial assistance to Primary Agricultural Credit Societies (PACS) for computerization and integration with District Cooperative Banks (DCCBs) through a Core Banking System (CBS), enhancing rural banking infrastructure and digital access.","['Computerization', 'Digital Infrastructure', 'Management Information System']"
Konkani Drama Competition,Goa,"The ""Konkani Drama Competition"" is a cultural scheme by Kala Academy under the Dept. of Art and Culture, Govt. of Goa. It is held annually to promote theatre among the institutions. Eligible participants are those registered under the Societies Registration Act, 1860, with renewed registration.","['Academy', 'Financial Assistance', 'Institutions', 'Prizes Awarded']"
Financial Assistance and Grants to Sports Associations/ Clubs/ Sports Committees of Uttarakhand,Uttarakhand,"The scheme aims to provide financial support or grants to recognized sports associations, clubs, and committees in the state for organizing sports competitions and for purchasing sports equipment for associations and players at the national, state, and district levels.","['Athlete Support', 'Sports Association', 'Sports Club', 'Sports Committee', 'Sports Competitions', 'Sports Grant']"
Establishment of Broiler Farms,Uttarakhand,"The scheme aims to promote commercial broiler rearing by providing financial assistance in the form of subsidies for poultry rearing and infrastructure development, thereby enhancing income generation and employment opportunities, especially for women and self-help groups (SHGs).","['Broiler Birds', 'Broiler Farms', 'Self Help Group', 'Subsidy', 'Yard Construction']"
Personal Interest Subsidy Scheme,Uttarakhand,"The scheme aims to support rural entrepreneurs in setting up industries using local resources. Through this scheme, interest subsidy on bank-financed projects up to ₹5,00,000 is provided.","['Enterpreneurs', 'Industries', 'Loan', 'Local Resources', 'Raw Materials', 'Rural', 'Subsidy']"
Contribution to State Agriculture Marketing Board Development Fund (General),Gujarat,"The scheme ""Contribution to State Agriculture Marketing Board Development Fund (General)"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to strengthen market infrastructure through financial assistance to State Agriculture Marketing Boards.","['Agricultural Marketing', 'Co-operative Institutions', 'Development Fund', 'Infrastructure Development', 'Market Committees']"
Organising Sports Competitions and Training Camps,Uttarakhand,"The scheme aims to promote sports at the grassroots levels by providing structured training, organizing competitions & nurturing sporting talent. Training is conducted through local camps in all districts for various sports, including football, athletics, boxing, volleyball, etc. with minimal fees.","['Sports', 'Sports Competition', 'Sportsperson', 'Training Camp']"
Pradhan Mantri Krishi Sinchayee Yojana - Har Khet Ko Pani (Surface Irrigation Scheme) Uttarakhand,Uttarakhand,"The scheme aims to provide every farmer with reliable surface irrigation facilities by developing sustainable irrigation infrastructure, ensuring that every field receives adequate water to improve agricultural productivity.","['Agriculture', 'Farmer', 'Irrigation', 'Surface Irrigation']"
Hand Pump Yojana,Uttarakhand,The scheme aims to provide reliable and accessible drinking water facilities to farmers and villagers through the installation of hand pumps.,"['Farmer', 'Hand Pump', 'Villager']"
"Information, Monitoring, Evaluation and Social Audit (I-MESA): Central Smart Surveillance Unit (CSSU)",Ministry Of Social Justice and Empowerment,The component aims to establish a Central Smart Surveillance Unit for continuous remote supervision of all Central Government-funded Grant-in-aid institutions and Training and Coaching centres using Closed-Circuit Television cameras and electronic devices.,"['Grant', 'Institution', 'Monitoring', 'Supervision', 'Surveillance']"
Scheme for Construction of Multipurpose Community Halls in Areas Inhabited by Tribal Community (Sanskruti Bhavan),Madhya Pradesh,"The scheme aims to provide essential infrastructure by constructing Multipurpose Community Halls (Sanskruti Bhavan) in villages primarily inhabited by Scheduled Tribe Communities. Benefits include a facility that serves as a marriage hall, training center, and recreation room.","['Community', 'Infrastructure', 'Marriage', 'NGO', 'Training', 'Tribal']"
Incentive Policy for Setting Up Community Radio Stations - Uttarakhand,Uttarakhand,"The scheme aims to promote the establishment and operation of community radio stations across the state, particularly in disaster-prone and remote areas, to strengthen community-level communication, awareness, and disaster preparedness.","['Community Radio Station', 'Disaster', 'Radio Stations']"
Food Processing and Value Addition Management,Uttarakhand,"The scheme aims to promote the establishment of food processing units in Uttarakhand, enhance value addition in agricultural and horticultural products, support entrepreneurs with financial assistance, and strengthen the state’s food processing ecosystem.","['Entrepreneur', 'Food Processing Unit', 'Subsidy', 'Value Addition']"
Construction of Minor Irrigation Projects for Scheduled Tribe Beneficiaries,Uttarakhand,"The scheme aims to provide Scheduled Tribe farmers with free and adequate irrigation by constructing small irrigation projects such as water tanks and pipelines in Scheduled Tribe-dominated areas, thereby helping them improve their farming.","['Farmer', 'Irrigation', 'Minor Irrigation', 'Scheduled Tribe', 'Water Channels', 'Water Storage Tank']"
Water Connection for ₹100 to BPL/Poor Families Residing in Urban Areas of Uttarakhand,Uttarakhand,"The scheme aims to provide affordable and accessible drinking water connections to BPL and economically weaker families residing in urban areas of Uttarakhand, ensuring equitable access to safe water for eligible households.","['BPL', 'Drinking Water', 'Poor Families', 'Potable Water', 'Urban Area', 'Water Connection', 'Water Supply']"
Group Personal Accident Insurance Scheme For Coir Workers,"Ministry Of Micro, Small and Medium Enterprises",A group insurance scheme by MoMSME for coir workers. The scheme provides insurance cover against accidental death and permanent disability of the insured member.,"['Financial Assistance', 'Insurance', 'Person With Disability']"
Phase-II Of The Grid Connected Rooftop Solar Programme,Ministry Of New and Renewable Energy,"Phase-II of the Grid Connected Rooftop Solar Programme, this programme is introduced by Ministry of New & Renewable Energy(MNRE), GoI with JAKEDA as a nodal agency in the UT of J&K  for achieving cumulative capacity  of 220MW under 20MW  Residential Scheme and 200 MW Jammu Solar City “Solar City.","['Infrastructure', 'Solar']"
Scheme Of Assistance To Disabled Persons For Purchase/Fitting Of Aids/Appliances,Ministry Of Social Justice and Empowerment,"The main objective of the Scheme is to assist needy disabled persons in procuring durable, sophisticated, scientifically manufactured, modern, standard aids and appliances that can promote their physical, social and psychological rehabilitation by reducing the effect of disabilities.","['Aids And Appliances', 'Person With Disability', 'PwD', 'Social Welfare']"
Technology Development And Utilization Programme For Women,Ministry Of Science And Technology,"In order to meet the specific needs of women and to enhance the contribution of women towards technology capability building, the “Technology Development & Utilization Programme for Women (TDUPW)” has been formulated by the Department of Scientific and Industrial Research (DSIR).","['Capacity Building', 'Research', 'Science', 'Technology', 'Women']"
Scheme For Assistance For Start Ups/ Innovation,Gujarat,"The ""Scheme for Assistance for Startups / Innovation"" has been introduced to encourage R&D and start innovation and entrepreneurship at different levels of the startup cycle. The scheme came into force on 07/08/2020 and will remain in operation for a period of 5 years, i.e. upto 06.08.2025.","['Entrepreneur', 'Skill Development', 'Startup', 'Subsidy']"
Vanchit Ikai Samooh Aur Vargon Ko Aarthik Sahayata Yojana,Ministry Of Social Justice and Empowerment,The VISVAS (Vanchit Ikai Samooh aur Vargon ko Aarthik Sahayata) Scheme aims to provide interest subvention to OBC/SC Self Help Groups (SHGs) or individuals. It is being implemented by the Ministry of Social Justice and Empowerment.,"['Loan', 'OBC', 'SHG', 'Social Welfare']"
Chief Minister's Micro Finance Initiative,Nagaland,"The scheme aims to promote access to credit for economic activities undertaken by individual farmers, entrepreneurs, Self-Help Groups (SHGs), and Farmer Producer Organizations (FPOs) in the state of Nagaland.","['And Farmer Producer Organizations', 'Entrepreneurs', 'Farmer', 'Micro Finance', 'Self-Help Groups', 'Subsidy']"
Scheme For Waiver Of Loans To Handloom And Powerloom Sector,Andhra Pradesh,"""Scheme for Waiver of Loans to Handloom and Powerloom Sector"" redeems the debt accrued by the farmers, Self-Help Groups, Weavers, etc., to the Scheduled Commercial Banks/Cooperative Banks, Urban Cooperative Banks, and RRBs, through their Branches/Institutions in the State of Andhra Pradesh.","['Bank', 'Loan', 'Self-Help Groups', 'Weaver']"
Mukhyamantri Samuhik Vivah Yojana,Uttar Pradesh,"Under this scheme, wedding programs are conducted according to the rituals being practiced in various communities and religions. Another objective of the scheme is to abolish the unwanted and extravagance in wedding ceremonies","['Financial Assistance', 'Samuhik Vivah', 'Uttar Pradesh']"
Promotion And Development Of Tea Tourism Infrastructure In Assam,Assam,"The scheme “Promotion and Development of Tea Tourism Infrastructure in Assam” was launched by the Government of Assam which broadly includes the overall experience of tourists in the midst of a tea garden or state, with accommodation facilities in iconic bungalows with modern amenities.","['Financial Assistance', 'Garden', 'Infrastructure', 'Tea', 'Tourism']"
Chief Minister Floriculture Mission,Assam,"This is a special scheme initiated during 2014-15 aimed at all-round development of floriculture sector in the State which incorporates cultivation, marketing, training etc. For the year 2015- 16 cultivation of Gerbera under Shade net house with tissue cultured planting materials is proposed.","['Cultivation', 'Farmer', 'Marketing', 'Trainning']"
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Research Or Innovation,Ministry Of Social Justice and Empowerment,"In order to recognize the efforts, and, encourage excellence in the Prevention of Alcoholism and Substance (Drugs) Abuse and rehabilitation of its victims, awards will be presented, for the most effective or outstanding services in the prevention of Alcoholism and Substance (Drug) Abuse.","['Alcohol', 'Award', 'Drug', 'Narcotic', 'Rehabilitation']"
Production Linked Incentive Scheme For Automobile And Auto Component Industry,Ministry of Heavy Industries,The government of India has launched the scheme “Production Linked Incentive (PLI) Scheme for Automobile and Auto Components Industry” in India to enhance India’s Manufacturing Capabilities for Advanced Automotive Products.,"['Auto Component', 'Automobile', 'Automotive', 'Incentive', 'Industry']"
Industrial R&D Promotion Programme: Recognition Of In-House R&D Units,Ministry Of Science And Technology,"DSIR is operating a scheme called ""Recognition of In-House R&D Units"" with the objective of granting recognition & registration to in-house R&D units established by the corporate industry. The In-house R&D units are expected to be engaged in innovative research & development activities.","['Business', 'Development', 'Industry', 'Registration', 'Research']"
National Award For Senior Citizens (Vayoshreshtha Samman): Best District Panchayat In Providing Services And Facilities To Senior Citizens,Ministry Of Social Justice and Empowerment,"The ""Vayoshreshtha Samman: Best District Panchayat in Providing Services and Facilities to Senior Citizens"" award shall be given to the district Panchayats, which have done outstanding work for senior citizens. The awards are conferred on 1st October every year by the Hon’ble President of India.","['Award', 'Institution', 'Panchayat', 'Senior Citizen', 'Social Welfare']"
Financial Assistance For Promotion Of Guru-Shishya Parampara (Repertory Grant),Ministry Of Culture,"The scheme “Financial Assistance for Promotion of Guru-Shishya Parampara (Repertory Grant)” was launched by the Ministry of Culture, Government of India.","['Culture', 'Financial Assistance', 'Grant', 'Guru', 'Parampara', 'Shishya', 'Theatre']"
Financial Assistance For Development Of Buddhist/Tibetan Arts And Culture,Ministry Of Culture,"The scheme “Financial Assistance for Development of Buddhist/Tibetan Arts and Culture” was launched by the Ministry of Culture, Government of India to provide financial assistance to voluntary Buddhist/Tibetan organizations including Monasteries.","['Art', 'Buddhist', 'Culture', 'Financial Assistance', 'Monasteries', 'Tibetan']"
Goa Village & Municipal Child Committee Grants And Awards Scheme,Goa,"GVMCCGS awards the Panchayats / Municipal Local Bodies to discuss and resolve the issues relating to children. The winner is awarded an annual financial grant of ₹ 10,000/- towards administrative expenses incurred on organizing the activities of the Committee.","['Award', 'Child Rights', 'Municipal', 'Panchayat', 'Village']"
Scheme for Providing (Golden Jubilee) One Time Grant-In-Aid in Memory of Blessed Mother Tereza,Goa,"The scheme aims to protect and support the thousands of children living in slums and on the streets of Goa, also orphans and runaways escaping poverty, neglect or abuse. These children are often at great risk from malnutrition, illness and neglect, and need a helping hand in healthcare, shelter etc.","['Destitute', 'Disability', 'Grant', 'Malnutrition', 'NGO', 'Orphan', 'Shelter']"
Goa State Cultural Award for Institution,Goa,"The scheme ""Goa State Cultural Award for Institution"" by the Directorate of Art and Culture, Government of Goa is designed to recognize, promote and appreciate the contribution of the institution in the field of Art and culture. This will give a tremendous boost to cultural institutions in Goa.","['Artist', 'Award', 'Culture', 'Financial Assistance', 'Institution']"
Assistance Scheme for Handicraft Artisans,Kerala,The Scheme intends to provide financial assistance in the form of grant to the artisans in the handicrafts sector for setting up handicraft enterprises. The assistance is a one time support to eligible artisans of the state as back end assistance.,"['Artisan', 'ASHA', 'Enterprise', 'Entrepreneur', 'Financial Assistance', 'Handicraft']"
Grant for Incubation Centers within Educational Institutes Scheme,Goa,"“Grant for Incubation Centers within Educational Institutes Scheme” is for the educational institutes in Goa, affiliated with a recognized public university. They can avail of a one-time grant towards capital expenses for setting up an incubator within their institute campuses.","['Entrepreneurship', 'Grant', 'Incubation', 'Institution', 'Startup']"
Scheme of Grant-in-Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes,Ministry Of Tribal Affairs,"The Central Sector Scheme “Scheme of Grant-in-Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes” was launched by the Ministry of Tribal Affairs, Government of India.","['Grant', 'NGO', 'PVTG', 'Scheduled Tribe', 'Voluntary Organisation']"
Integrated Scheme on Agriculture Cooperation,Ministry Of Agriculture and Farmers Welfare,"The Integrated Scheme on Agriculture Cooperation (ISAC) is a Central Sector Scheme of the Ministry of Agriculture and Farmers Welfare, Government of India. It is being implemented through the National Cooperative Development Corporation (NCDC).","['Financial Assistance', 'Improve Economic Conditions', 'Loan']"
Scheme of Fund for Regeneration of Traditional Industries,"Ministry Of Micro, Small and Medium Enterprises","To make the traditional industries more productive and competitive and facilitating their sustainable development, the Govt. of India announced in 2005-06, setting up of a fund for the regeneration of traditional industries. Pursuant to this announcement, a Central Sector Scheme titled the “SFURTI"".","['Coir', 'Hard Intervention', 'MSME', 'SFURTI', 'Soft Intervention', 'Thematic Intervention', 'Traditional Industries']"
Performance Linked Grant Scheme for Smaller Business Units,Goa,"The objective of the ""Performance Linked Grant Scheme for Smaller Business Units"" is to provide a Performance Linked Grant of 5% of the reported net income to the eligible Information Technology Units in the State of Goa, subject to a total cap of ₹ 25,00,000.","['Business', 'Company', 'Grant', 'Information Technology']"
Market Support Scheme for Smaller Business Units,Goa,"The objective of the ""Market Support Scheme for Smaller Business Units"" is to provide Market Support to the eligible IT Units in Goa. A reimbursement of 50% of the exhibition rental cost will be provided for participating in national/ international exhibitions, limited to 9 square meter of space.","['Business', 'Company', 'Exhibition', 'Market', 'Reimbursement']"
Market Support Scheme for Smaller Business Units,Goa,"The objective of the ""Market Support Scheme for Smaller Business Units"" is to provide Market Support to the eligible IT Units in Goa. A reimbursement of 50% of the exhibition rental cost will be provided for participating in national/ international exhibitions, limited to 9 square meter of space.","['Business', 'Company', 'Exhibition', 'Market', 'Reimbursement']"
Lease Rental Rebate Scheme for Goan Diaspora,Goa,"The ""Lease Rental Rebate Scheme for Goan Diaspora"" is one of the ""IT Policy Schemes"" by the Dept of IT, Govt of Goa. The objective is to provide Lease Rental Rebate for Goan Diaspora. A 100% reimbursement of the lease rentals will be provided for a period of first 6 months of operations.","['Business', 'Company', 'Lease', 'Reimbursement', 'Rent']"
Solar Power Subsidy Scheme,Goa,"Launched in 2018, the ""Solar Power Subsidy Scheme"" is one of the ""Information Technology Policy Schemes"" by the Department of Information Technology, Government of Goa. The objective and the scope of this scheme is to provide Solar Power Subsidy to the eligible Information Technology Units in Goa.","['Company', 'Information Technology', 'Power', 'Solar', 'Subsidy']"
Salary Subsidy Scheme,Goa,"Launched in 2018, the ""Salary Subsidy Scheme"" by the Dept of Information Technology, Govt of Goa. The objective is to provide a Salary Subsidy to the eligible IT Units in Goa. The subsidy would be provided as a matching grant to the salary paid to Fresher up to ₹10,000 per Fresher per month.","['Company', 'Employee', 'Fresher', 'Grant', 'Salary']"
Design Scheme Under MSME Innovative Scheme,"Ministry Of Micro, Small and Medium Enterprises",Design scheme will help MSMEs to avail advice on all aspects of design. It helps MSMEs realize and achieve their design-related objectives. This specialist advice will be provided by experienced designers for new product development as well as enhancing existing product portfolio.,"['Business & Entrepreneurship', 'Financial Support', 'Product Design', 'Product Development']"
Grant of Subsidy for Purchase of Mobile Sea Food Van,Puducherry,"The scheme aims to provide the beneficiary with a mobile seafood van. This van, financed through a combination of bank loan and departmental subsidy (25% and 75%, respectively), is intended for the sale of fresh and processed fish and fishery products in areas not served by regular markets.","['Fish', 'Fisherman', 'Grant', 'Subsidy', 'Transport']"
National Handloom Development Programme: Concessional Credit/Weaver MUDRA Scheme,Ministry Of Textiles,The scheme aims to provide adequate and timely assistance from the banks to the handloom sector to meet their credit requirements for term loan & working capital in a flexible and cost effective manner across the country.,"['Bank', 'Concessional Credit', 'Credit Guarantee', 'Handloom', 'Interest Subvention', 'Margin Money Assistance', 'MUDRA', 'Weaver']"
Bank Loan Processing Fee Reimbursement Scheme,"Ministry Of Micro, Small and Medium Enterprises","The Bank Loan Processing Fee Reimbursement Scheme comes under the purview of the Ministry of Micro, Small and Medium Enterprises (MSME) of the Government of India.","['Entrepreneurship', 'Financial Assistance', 'MSME', 'Reimbursement']"
Bank Guarantee Charges Reimbursement Scheme,"Ministry Of Micro, Small and Medium Enterprises","Under the Ministry Of Micro, Small & Medium Enterprises, Bank Guarantee Charges Reimbursement Scheme is a sub scheme under National Scheduled Caste and Scheduled Tribe Hub (NSSH) scheme.","['Business', 'Enterpreneurship', 'Financial Assistance', 'Reimbursement']"
Reimbursement of Stamp Duty and Registration Charges,Tamil Nadu,"The scheme ""Reimbursement of Stamp Duty and Registration Charges"" by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu, is introduced with the objective of reducing the stamp duty and registration charges incurred by MSEs investing in backward blocks.","['Business', 'Enterprise', 'MSME', 'Reimbursement']"
Subsidy for Fund Raising from SME Exchange,Tamil Nadu,"The scheme ""Subsidy for Fund Raising from SME Exchange"" by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu, is introduced with the objective to facilitate high growth potential SMEs in the State to raise equity capital through SME Exchange utilizing IPOs.","['Business', 'Enterprise', 'Fund', 'MSME', 'Subsidy']"
Promotion of Energy Audit and Conservation of Energy (PEACE): Detailed Energy Audit,Tamil Nadu,"The ""Detailed Energy Audit"" component of this scheme is introduced to identify the major sources of energy in use, identify the lapses in energy usage, identify areas to improve energy usage, determine the level of consumption of the energy sources, and recommend policy measures.","['Audit', 'Business', 'Energy', 'Enterprise', 'MSME']"
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,Tamil Nadu,"The ""Incentive for lmplementing Energy Audit Recommendations"" component of this scheme is introduced to incentivise MSMEs to implement the recommendations of the Energy Audit Report and to optimize energy consumption leading to energy saving and money savings in electricity bills.","['Audit', 'Business', 'Energy', 'Enterprise', 'MSME']"
Generator Subsidy,Tamil Nadu,"The scheme ""Generator Subsidy"" is introduced with the objective of assisting all new and existing Micro, Small, and Medium Manufacturing Enterprises through a subsidy of 25% on the cost of the generator purchased (up to 320 KVA capacity), subject to a maximum of ₹ 5,00,000.","['Electricity', 'Enterprise', 'MSME', 'Power', 'Subsidy']"
AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,Ministry of Education,"Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports, aims to support institution in conducting trainings to develop the skill of the participants to involve the masses in traditional sports/games and fun games for physical activity through recreation.","['Physical Education', 'Physical Fitness', 'Sport Games', 'Training']"
"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME",Ministry of Education,"Through Idea Lab Scheme, AICTE will be setting up Idea Labs in AICTE approved institutions to encourage students for application of science, technology engineering and mathematics (STEM) fundamentals towards enhanced hands-on experience, learning by doing and even product visualization.","['Engineering College And University', 'Financial Support', 'Infrastructure', 'Lab']"
Collaborative Research Scheme (CRS),Ministry of Education,"Collaborative Research Scheme (CRS) has been introduced by the All India Council for Technical Education to support innovation & research across institutes with collaboration among TEQIP Faculty, Regular faculty of Project institutions (focus and non-focus) & Premier institutions of the country.","['Financial Assistance', 'Research Grant', 'Technical Education']"
'Rent Subsidy for Sales Emporia Established by Handicrafts / Micro & Small Industries Emporium' under 'Marketing And Publicity',Puducherry,"In this scheme, financial support will be provided via the Industrial Associations, Handicrafts Societies and Recognized Institutions for promotion of Handicrafts, Coir, Jute, Micro and Small Industrial products, i.e. for acquiring suitable buildings/premises and providing infrastructure facilities.","['Business', 'Handicrafts', 'MSME', 'Rent', 'Showroom', 'Subsidy']"
"'Grant-in-Aid to Industrial Association, CII, Industrial NGOs for Promotion of SME Clusters' under 'Marketing And Publicity'",Puducherry,"Through this scheme, financial assistance is provided to the Industrial Associations, CII, and Industrial NGOs for the promotion of the SME Cluster. The financial assistance is 75% of the actual cost, subject to a maximum of ₹3,00,000/- per unit in cluster.","['Financial Assistance', 'Industry', 'Marketing', 'NGO', 'Publicity']"
"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme",Puducherry,"The scheme ""Grant of Margin Money for Availing Capital Loan"" aims to incentivize entrepreneurs to establish new coir industries & revitalise existing ones. The units must be set up in Puducherry. The scheme provides margin money upon receipt of a financial institution's sanction order for a project.","['Business', 'Coir', 'Entrepreneur', 'Loan']"
"""Management Training"" Component of the ""Development of Industries"" Scheme",Puducherry,"Through this scheme, management training is imparted as means to enhance productivity. It is imparted to the entrepreneurs / industrialists or their representative in various disciplines namely Financial Management, Marketing Management, Personnel Management, Quality control, etc.","['Entrepreneur', 'Financial', 'Management', 'Marketing', 'Training']"
"Capital Investment Subsidy: Thrust Area Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",Puducherry,"Throught the ""Capital Investment Subsidy: Thrust Area Industries"" scheme, the Thrust Area Industries are provided Subsidy on the Investments on Plant and Machinery. The applications are accepted offline in the prescribed form available on the Official Website of the Department.","['Business', 'Enterpreneur', 'Industry', 'Investment', 'Machine', 'Subsidy']"
"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",Puducherry,"Through this scheme, the industrial units availing loans from financial institutions towards the creation of fixed assets and for working capital shall be eligible for an interest subsidy to an extent of 25% of the annual interest amount paid. The applications are accepted offline.","['Business', 'Enterpreneur', 'Industry', 'Interest', 'MSME', 'Subsidy']"
