name,description,tags,combined_text
Santwana Scheme - Karnataka,"The ""Santwana Scheme"" offers loans to religious minority individuals whose houses or shops have been destroyed by natural calamities or communal violence. The scheme provides up to ₹5,00,000/- per unit, with 50% as a loan and 50% as a subsidy","['Loan', 'Minority Community', 'Natural Calamity', 'Subsidy']",santwana scheme karnataka the santwana scheme offers loans to religious minority individuals whose houses or shops have been destroyed by natural calamities or communal violence the scheme provides up to 500000 per unit with 50 as a loan and 50 as a subsidy loan minority community natural calamity subsidy
Overseas Educational Loan Scheme,"The ""Overseas Educational Loan Scheme"" objective is to provide financial/loan assistance to students belonging to minority communities who are pursuing graduate or postgraduate degree courses in recognized universities abroad.","['Education', 'Financial Assistance', 'Laon', 'Student']",overseas educational loan scheme the overseas educational loan scheme objective is to provide financialloan assistance to students belonging to minority communities who are pursuing graduate or postgraduate degree courses in recognized universities abroad education financial assistance laon student
Vrutti Protsaha Loan Scheme,"The ""Vrutti Protsaha Loan Scheme"" is an initiative by the Karnataka Minority Development Corporation (KMDC) to promote self-employment and economic activities among minority communities. The scheme provides financial assistance to eligible individuals from minority communities.","['Loan', 'Minority', 'Self-employment', 'Subsidy']",vrutti protsaha loan scheme the vrutti protsaha loan scheme is an initiative by the karnataka minority development corporation kmdc to promote selfemployment and economic activities among minority communities the scheme provides financial assistance to eligible individuals from minority communities loan minority selfemployment subsidy
Education Loan Scheme,A scheme named Education Loan Scheme by National Scheduled Castes Finance and Development Corporation (NSFDC) under the M/o Social Justice and Empowerment provides loans to students from Scheduled Castes who are pursuing full-time professional or technical courses in recognized institutions.,"['Higher Education', 'Loans To Students', 'National Scheduled Castes Finance And Development Corporation']",education loan scheme a scheme named education loan scheme by national scheduled castes finance and development corporation nsfdc under the mo social justice and empowerment provides loans to students from scheduled castes who are pursuing fulltime professional or technical courses in recognized institutions higher education loans to students national scheduled castes finance and development corporation
Financial Assistance for Studies (BBOCWWB),"The scheme is implemented by the Bihar Building & Other Construction Workers Welfare Board, Labour Resources Department, Govt. of Bihar. Under this scheme, educational financial support is provided to the children of registered workers who have been members of the Board for at least one year.","['Building Worker', 'Construction Worker', 'Financial Assistance', 'Labour', 'Student', 'Unorganized Workers']",financial assistance for studies bbocwwb the scheme is implemented by the bihar building other construction workers welfare board labour resources department govt of bihar under this scheme educational financial support is provided to the children of registered workers who have been members of the board for at least one year building worker construction worker financial assistance labour student unorganized workers
Hari Om Ashram Prerit Senior Scientist Award,"The Hari Om Ashram Prerit Senior Scientist Award was established to commemorate the birth centenary of Pujya Shri Mota, the founder of the Hari Om Ashram, Nadiad. It is awarded to an eminent Indian scientist for their innovative and outstanding contributions to the field of Science and Technology.","['Award', 'Cash Prize', 'Scientist']",hari om ashram prerit senior scientist award the hari om ashram prerit senior scientist award was established to commemorate the birth centenary of pujya shri mota the founder of the hari om ashram nadiad it is awarded to an eminent indian scientist for their innovative and outstanding contributions to the field of science and technology award cash prize scientist
Financial Assistance for Marriage (BBOCWWB),"Under this scheme, financial assistance of ₹50,000/- is provided to registered male or female workers who have been members of the Board for at least three years, for the marriage of their two adult daughters and for the female member's own marriage.","['Building Worker', 'Construction Worker', 'Financial Assistance', 'Labour', 'Marriage', 'Unorganized Workers']",financial assistance for marriage bbocwwb under this scheme financial assistance of 50000 is provided to registered male or female workers who have been members of the board for at least three years for the marriage of their two adult daughters and for the female members own marriage building worker construction worker financial assistance labour marriage unorganized workers
Buti Foundation Award,"The Buti Foundation Award, established in 2007 by the Buti Foundation, New Delhi, is a biennial award recognizing innovative and outstanding research in the field of Plasma Science & Technology. The award aims to honor a Scientist/Engineer under the age of 45 years for their significant contribution","['Award', 'Engineer', 'Research', 'Scientist']",buti foundation award the buti foundation award established in 2007 by the buti foundation new delhi is a biennial award recognizing innovative and outstanding research in the field of plasma science technology the award aims to honor a scientistengineer under the age of 45 years for their significant contribution award engineer research scientist
Providing Scholarships to Children of BOC Workers,"The Andhra Pradesh Building & Other Construction Workers Welfare Board provides scholarships to children of registered workers. The scheme covers up to two children per family. Students of 9th to 12th grade (Intermediate), ITI and Graduation level will receive financial assistance.","['Children', 'Construction Worker', 'ITI', 'Scholarship']",providing scholarships to children of boc workers the andhra pradesh building other construction workers welfare board provides scholarships to children of registered workers the scheme covers up to two children per family students of 9th to 12th grade intermediate iti and graduation level will receive financial assistance children construction worker iti scholarship
Maternity Benefit Scheme (APBOCWWB),"The Andhra Pradesh Building & Other Construction Workers have introduced the ""Maternity Benefit Scheme"" to registered construction workers. The scheme aims to support registered women workers, wives of registered male workers, & their daughters during maternity, reducing the financial strain.","['Construction Worker', 'Daughter', 'Financial Assistance', 'Maternity', 'Wife']",maternity benefit scheme apbocwwb the andhra pradesh building other construction workers have introduced the maternity benefit scheme to registered construction workers the scheme aims to support registered women workers wives of registered male workers their daughters during maternity reducing the financial strain construction worker daughter financial assistance maternity wife
Haryana Divyang Pension Scheme,"This is a State scheme under which disabled persons of Haryana domicile with a minimum 60% disability and are 18 years of age and above, are given pension as per eligibility criteria laid down in the rules of the scheme.","['Disabled Person', 'Divyang', 'Pension', 'PwD']",haryana divyang pension scheme this is a state scheme under which disabled persons of haryana domicile with a minimum 60 disability and are 18 years of age and above are given pension as per eligibility criteria laid down in the rules of the scheme disabled person divyang pension pwd
Inter-caste Marriage Scheme,The Inter-caste Marriage Scheme is an initiative by the Government of Himachal Pradesh to promote inter-caste marriages and encourage social integration in the state.,"['DBT Scheme', 'Financial Assistance', 'Inter-caste Marriage']",intercaste marriage scheme the intercaste marriage scheme is an initiative by the government of himachal pradesh to promote intercaste marriages and encourage social integration in the state dbt scheme financial assistance intercaste marriage
Maternity Benefit to the Female Beneficiary,"The Manipur Building and Other Construction Workers' Welfare Board (MBOCWWB) provide ""Maternity Benefit"" to female workers registered under the Act. Financial assistance is provided in cases of miscarriage or medical termination of pregnancy, up to two times.","['Construction Worker', 'Financial Assistance', 'Pregnant', 'Women']",maternity benefit to the female beneficiary the manipur building and other construction workers welfare board mbocwwb provide maternity benefit to female workers registered under the act financial assistance is provided in cases of miscarriage or medical termination of pregnancy up to two times construction worker financial assistance pregnant women
Maternity Benefit for Women Beneficiaries,"The ""Maternity Benefit for Women Beneficiaries"" scheme under the Nagaland Building and Other Construction Workers' Welfare Board provides financial assistance to pregnant women registered as beneficiaries and wives of registered beneficiaries. The assistance can be availed up to two times.","['Construction Worker', 'Financial Assistance', 'Pregnancy', 'Women']",maternity benefit for women beneficiaries the maternity benefit for women beneficiaries scheme under the nagaland building and other construction workers welfare board provides financial assistance to pregnant women registered as beneficiaries and wives of registered beneficiaries the assistance can be availed up to two times construction worker financial assistance pregnancy women
Chief Minister Merit Award,"The scheme offers ₹3,000/- per year for five years to 1000 boys and 1000 girls from SC/ST communities, based on their plus 2 public examination marks, provided they continue their education.","['Education', 'Merit Award', 'Scholarship', 'Students', 'Tribal Welfare']",chief minister merit award the scheme offers 3000 per year for five years to 1000 boys and 1000 girls from scst communities based on their plus 2 public examination marks provided they continue their education education merit award scholarship students tribal welfare
Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,"This scheme provides education benefits by admitting top Adi Dravidar/Tribal Students into reputed private schools for Plus One, covering 320 students annually across districts.","['Adi Dravidar', 'Admission Assistance', 'Education', 'Schools', 'Tribal Welfare']",admission of adi dravidartribal students in plus one at reputed schools this scheme provides education benefits by admitting top adi dravidartribal students into reputed private schools for plus one covering 320 students annually across districts adi dravidar admission assistance education schools tribal welfare
"Pre Examination Training Centre For All India Service Examinations Like I.A.S., I.P.S., I.R.S., Etc.","This scheme provides free pre-examination training, boarding, and lodging for Adi Dravidar and Tribal community candidates preparing for All India Service Examinations like IAS, IPS, and IRS.","['All India Service Examinations', 'Coaching', 'Lodging', 'Pre Examination Training', 'Tribal Welfare', 'UPSC']",pre examination training centre for all india service examinations like ias ips irs etc this scheme provides free preexamination training boarding and lodging for adi dravidar and tribal community candidates preparing for all india service examinations like ias ips and irs all india service examinations coaching lodging pre examination training tribal welfare upsc
Pre-Matric Scholarship Scheme,The scheme offers financial assistance to students from Backward Classes (BC) and Most Backward Classes (MBC) studying in English medium from 6th to 10th standard. It covers tuition and examination fees.,"['Education', 'Minority Welfare', 'Pre-Matric', 'Scholarship']",prematric scholarship scheme the scheme offers financial assistance to students from backward classes bc and most backward classes mbc studying in english medium from 6th to 10th standard it covers tuition and examination fees education minority welfare prematric scholarship
Assistance to Lawyers for Starting their Practice,"This scheme provides financial assistance to unemployed Adi Dravidar and Tribal lawyers to help them start their legal practice, provided they have registered within the last five years and meet specific income criteria.","['Lawyers', 'Practice', 'Tribal Welfare', 'Unemployment']",assistance to lawyers for starting their practice this scheme provides financial assistance to unemployed adi dravidar and tribal lawyers to help them start their legal practice provided they have registered within the last five years and meet specific income criteria lawyers practice tribal welfare unemployment
Burial Ground-Provision of Burial Grounds and Pathway to Burial Grounds,The scheme aims to support Adi Dravidar/Tribal communities by providing burial grounds and pathways in areas where such facilities are not available.,"['Burial Ground', 'Tribal Welfare']",burial groundprovision of burial grounds and pathway to burial grounds the scheme aims to support adi dravidartribal communities by providing burial grounds and pathways in areas where such facilities are not available burial ground tribal welfare
Financial Assistance for Girl Child Attend Her Age of 18,"The Financial Assistance for Girl Child Attend Her Age of 18 scheme provides financial assistance in the form of a fixed deposit of ₹1,00,000/- for each female child of a registered worker or spouse who has undergone a family planning operation after the birth of one female child.","['Construction Worker', 'Financial Assistance', 'Fixed Deposit', 'Girl Child']",financial assistance for girl child attend her age of 18 the financial assistance for girl child attend her age of 18 scheme provides financial assistance in the form of a fixed deposit of 100000 for each female child of a registered worker or spouse who has undergone a family planning operation after the birth of one female child construction worker financial assistance fixed deposit girl child
Financial Assistance for Funeral Expenses (JKBOCWWB),"The “Financial Assistance for Funeral Expenses” scheme by the BOCW Welfare Board, Labour Department, Jammu and Kashmir, is a welfare scheme that provides financial assistance to the nominees of a deceased registered member for covering funeral expenses.","['Building Worker', 'Construction Worker', 'Death', 'Funeral Expenses', 'Labour']",financial assistance for funeral expenses jkbocwwb the financial assistance for funeral expenses scheme by the bocw welfare board labour department jammu and kashmir is a welfare scheme that provides financial assistance to the nominees of a deceased registered member for covering funeral expenses building worker construction worker death funeral expenses labour
Financial Assistance for Natural Death,"The scheme “Financial Assistance for Natural Death” was launched by the Maharashtra Building & Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. Under the scheme, the Board provides financial assistance of ₹2,00,000/- to the legal heir of a registered worker who dies.","['Construction Worker', 'Financial Assistance', 'Legal Heir', 'Natural Death']",financial assistance for natural death the scheme financial assistance for natural death was launched by the maharashtra building other construction workers welfare board mbocww labour department maharashtra under the scheme the board provides financial assistance of 200000 to the legal heir of a registered worker who dies construction worker financial assistance legal heir natural death
Reimbursement of the MS-CIT Course,"The Reimbursement of the MS-CIT Course scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra.","['Construction Worker', 'Financial Assistance', 'IT Courses', 'Reimbursement', 'Student']",reimbursement of the mscit course the reimbursement of the mscit course scheme was launched by the maharashtra building and other construction workers welfare board mbocww labour department maharashtra construction worker financial assistance it courses reimbursement student
Schooling Education (JKBOCWWB),"The scheme ""Schooling Education"" by the Building and Other Construction Workers Welfare Board, Labour Dept., J&K, provides financial assistance for the education of children of registered construction workers, from Class Nursery/1st to 5th, and from Class 6th to 8th.","['Children', 'Construction', 'Education', 'Financial Assistance', 'Student', 'Worker']",schooling education jkbocwwb the scheme schooling education by the building and other construction workers welfare board labour dept jk provides financial assistance for the education of children of registered construction workers from class nursery1st to 5th and from class 6th to 8th children construction education financial assistance student worker
Large Sized Multi Purpose Coop. Society For Interest Free Loan,"The scheme provides interest-free loans to citizens through a cooperative society. The maximum loan amount offered is ₹45,000/-, with zero interest charged.","['Cooperative Society', 'Financial Assistance', 'Interest Free Loan']",large sized multi purpose coop society for interest free loan the scheme provides interestfree loans to citizens through a cooperative society the maximum loan amount offered is 45000 with zero interest charged cooperative society financial assistance interest free loan
Employees Cooperative Societies Surety Loan,"The scheme provides loans up to ₹1,50,000/- at an interest rate of 14%. It is aimed at assisting citizens by offering financial support through surety loans from the Employees Cooperative Societies.","['Employees Cooperative Societies', 'Surety Loan']",employees cooperative societies surety loan the scheme provides loans up to 150000 at an interest rate of 14 it is aimed at assisting citizens by offering financial support through surety loans from the employees cooperative societies employees cooperative societies surety loan
"District Central Cooperative Banks and through its Branches: For Revamped Micro Credit Loan for Women Vendors of Flower, Vegetable, Fruit etc.","The scheme provides revamped micro credit loans through District Central Cooperative Banks to support women vendors selling flowers, vegetables, fruits etc. Loans range from  ₹100/- to  ₹5,000/- with an interest rate of 11%.","['Business', 'Flower Vendors', 'Fruit Vendors', 'Micro Credit Loan', 'Vegetable Vendors', 'Women']",district central cooperative banks and through its branches for revamped micro credit loan for women vendors of flower vegetable fruit etc the scheme provides revamped micro credit loans through district central cooperative banks to support women vendors selling flowers vegetables fruits etc loans range from 100 to 5000 with an interest rate of 11 business flower vendors fruit vendors micro credit loan vegetable vendors women
Primary Cooperative Agriculture and Rural Development Bank: For Poultry Development,"The scheme offers loans to farmers for poultry development and cattle development, with funding of up to ₹14,800/- for 200 birds or ₹17,000/- for 2 cows, with an interest rate of 14.5% to 16.5%.","['Agriculture And Rural Development Bank', 'Cattle Development', 'Farmer', 'Loan', 'Poultry Development']",primary cooperative agriculture and rural development bank for poultry development the scheme offers loans to farmers for poultry development and cattle development with funding of up to 14800 for 200 birds or 17000 for 2 cows with an interest rate of 145 to 165 agriculture and rural development bank cattle development farmer loan poultry development
Goat Unit Scheme On Grants And Bank Loans,"The scheme provides financial support through grants and bank loans to farmers to purchase (10+1) goat units for milk and meat production. The scheme covers a 40% subsidy for general applicants and 60% for SC/ST beneficiaries, based on a total unit cost of ₹77,456/-.","['Agriculture', 'Animal Husbandry', 'Goat Breeding', 'Loan']",goat unit scheme on grants and bank loans the scheme provides financial support through grants and bank loans to farmers to purchase 101 goat units for milk and meat production the scheme covers a 40 subsidy for general applicants and 60 for scst beneficiaries based on a total unit cost of 77456 agriculture animal husbandry goat breeding loan
Incentive given to Encourage Inter caste Marriages,"The ""Incentive for Encouraging Inter-Caste Marriages"" scheme is implemented by the Department of Social Justice & Special Assistance, Government of Maharashtra, and funded jointly by the State and Central Government (50:50). The scheme provides financial incentives to support inter-caste marriages.","['Bride', 'Financial Assistance', 'Groom', 'Intercaste', 'Marriage']",incentive given to encourage inter caste marriages the incentive for encouraging intercaste marriages scheme is implemented by the department of social justice special assistance government of maharashtra and funded jointly by the state and central government 5050 the scheme provides financial incentives to support intercaste marriages bride financial assistance groom intercaste marriage
Indira Gandhi National Old Age Pension Scheme (Maharashtra),"The scheme ""Indira Gandhi National Old Age Pension"" is a social welfare scheme by the Social Justice & Special Assistance Department, Government of Maharashtra. In this scheme, ₹600 per month is provided to elderly individuals aged 65 years and above from BPL families.","['Below The Poverty Line', 'BPL', 'Old Age', 'Pension', 'Senior Citizen']",indira gandhi national old age pension scheme maharashtra the scheme indira gandhi national old age pension is a social welfare scheme by the social justice special assistance department government of maharashtra in this scheme 600 per month is provided to elderly individuals aged 65 years and above from bpl families below the poverty line bpl old age pension senior citizen
Fal Podharopan Yojana,The objective of this scheme is to expand the area under fruit plantation in the district and increase the fruit production. This scheme is implemented in all the 52 districts of the state.,"['Agriculture', 'Crop', 'Farm', 'Farmer', 'Fruit', 'Horticulture', 'Plant', 'Plantation']",fal podharopan yojana the objective of this scheme is to expand the area under fruit plantation in the district and increase the fruit production this scheme is implemented in all the 52 districts of the state agriculture crop farm farmer fruit horticulture plant plantation
Vasantrao Naik Tanda / Basti Development Scheme,"The scheme ""Vasantrao Naik Tanda/Basti Development"" is implemented by the Govt. of Maharashtra. The scheme provides essential amenities to the Tandas and Bastis of Vimukta Jatis and Nomadic Tribes. The scheme focuses on improving access to drinking water, electrification, latrines, drainage, etc.","['Amenities', 'Development', 'Electrification', 'Latrine', 'Toilet', 'Water']",vasantrao naik tanda basti development scheme the scheme vasantrao naik tandabasti development is implemented by the govt of maharashtra the scheme provides essential amenities to the tandas and bastis of vimukta jatis and nomadic tribes the scheme focuses on improving access to drinking water electrification latrines drainage etc amenities development electrification latrine toilet water
Indira Gandhi National Disability Pension Scheme (Jammu and Kashmir),"Launched on 15th August 1995, the ""Indira Gandhi National Disability Pension Scheme""is a pension scheme by the Department Of Social Welfare  Jammu and Kashmir. In this scheme, a pension of ₹1000/- is provided to differently-abled individuals from 'Below Poverty Line'.","['Below Poverty Line', 'Disability', 'Pension', 'Social Welfare']",indira gandhi national disability pension scheme jammu and kashmir launched on 15th august 1995 the indira gandhi national disability pension schemeis a pension scheme by the department of social welfare jammu and kashmir in this scheme a pension of 1000 is provided to differentlyabled individuals from below poverty line below poverty line disability pension social welfare
Primary Cooperative Agriculture and Rural Development Bank: Jewel Loans,"The scheme offers jewel loans to farmers, enabling them to access up to ₹2,00,000/- at an interest rate of 11.5% for agricultural purposes.","['Banking', 'Farmer', 'Financial Assistance']",primary cooperative agriculture and rural development bank jewel loans the scheme offers jewel loans to farmers enabling them to access up to 200000 at an interest rate of 115 for agricultural purposes banking farmer financial assistance
Incentive For The Simple Marriage (Scheduled Tribe),"The scheme ""Incentive for the Simple Marriage"" was launched by the Tribal Welfare Department, Government of Karnataka. The scheme provides an incentive of ₹50,000/- to ST individuals residing in Karnataka who marry another ST individual on or after 11th August 2015.","['Couple', 'Incentive', 'Marriage', 'Schedule Tribe', 'Spouse', 'ST']",incentive for the simple marriage scheduled tribe the scheme incentive for the simple marriage was launched by the tribal welfare department government of karnataka the scheme provides an incentive of 50000 to st individuals residing in karnataka who marry another st individual on or after 11th august 2015 couple incentive marriage schedule tribe spouse st
Funeral Assistance Scheme (Madhya Pradesh),"Launched on 13th August 2013, the ""Funeral Assistance Scheme"" by the Department of Social Justice and Empowerment, Govt. Madhya Pradesh provides ₹3,000/- for the last rites of destitute or unclaimed bodies.  The scheme also supports families registered under labour schemes.","['Death', 'Financial Assistance', 'Funeral', 'Poor']",funeral assistance scheme madhya pradesh launched on 13th august 2013 the funeral assistance scheme by the department of social justice and empowerment govt madhya pradesh provides 3000 for the last rites of destitute or unclaimed bodies the scheme also supports families registered under labour schemes death financial assistance funeral poor
State Disability Pension,"The Social Welfare & Tribal Affairs Department, Government of Mizoram launched the State Disability Pension scheme. It provides a monthly pension of ₹350 to 200 eligible individuals who are completely blind or bedridden.","['Bedridden', 'Blind', 'Disability', 'Financial Assistance', 'Pension']",state disability pension the social welfare tribal affairs department government of mizoram launched the state disability pension scheme it provides a monthly pension of 350 to 200 eligible individuals who are completely blind or bedridden bedridden blind disability financial assistance pension
State Senior Citizens Home,"The Social Welfare & Tribal Affairs Department, Government of Mizoram launched the State Senior Citizens Home for the homeless aged persons. It provides shelter and facilities to homeless elderly individuals aged 60 and above, who lack family support.","['Old Age Home', 'Senior Citizen', 'Shelter', 'Social Welfare']",state senior citizens home the social welfare tribal affairs department government of mizoram launched the state senior citizens home for the homeless aged persons it provides shelter and facilities to homeless elderly individuals aged 60 and above who lack family support old age home senior citizen shelter social welfare
Distribution of Iron Boxes at Free of Cost,"The scheme provides complimentary iron boxes to support individuals from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNCs) engaged in washing work, aiming to improve their livelihood.","['Backward Classes', 'Denotified Communities', 'Most Backward Classes', 'Social Empowerment']",distribution of iron boxes at free of cost the scheme provides complimentary iron boxes to support individuals from backward classes bc most backward classes mbc and denotified communities dncs engaged in washing work aiming to improve their livelihood backward classes denotified communities most backward classes social empowerment
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,"The scheme aims to promote strawberry cultivation across 20 districts in Bihar. It provides subsidies on seedlings, packaging materials, and equipment to support farmers in enhancing strawberry production.","['Agriculture', 'Financial Assistance', 'Plant Supply', 'Strawberry Development', 'Subsidy']",mukhyamantri bagwani mission strawberry vikas yojana the scheme aims to promote strawberry cultivation across 20 districts in bihar it provides subsidies on seedlings packaging materials and equipment to support farmers in enhancing strawberry production agriculture financial assistance plant supply strawberry development subsidy
Mukhyamantri Bagwani Mission: Aam Vikas Yojana,The Scheme aims to expand plantain cultivation across all districts in Bihar. Farmers can receive subsidies for up to 10 acres and access high-quality tissue-cultured plants for cultivation.,"['Agriculture', 'Financial Assistance', 'Mango Development', 'Plant Supply', 'Subsidy']",mukhyamantri bagwani mission aam vikas yojana the scheme aims to expand plantain cultivation across all districts in bihar farmers can receive subsidies for up to 10 acres and access highquality tissuecultured plants for cultivation agriculture financial assistance mango development plant supply subsidy
Mukhymantri Sarthi Yojana - Jharkhand,"The ""Mukhymantri Sarthi Yojana"" aims to provide industry-relevant skill development training for youth in Jharkhand, aligning with NSQF standards. Implemented by Jharkhand Skill Development Mission Society (JSDMS) across all 24 districts, it offers free training to enhance employability.","['Employment', 'Financial Assistance', 'Skill Development', 'Training']",mukhymantri sarthi yojana jharkhand the mukhymantri sarthi yojana aims to provide industryrelevant skill development training for youth in jharkhand aligning with nsqf standards implemented by jharkhand skill development mission society jsdms across all 24 districts it offers free training to enhance employability employment financial assistance skill development training
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,"“Medical Assistance for Incurable Diseases” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” by the Labour Resources Dept., provides financial assistance ranging from ₹7,500/- to ₹30,000/- to workers or craftsmen suffering from incurable diseases.","['Craftsmen', 'Incurable Diseases', 'Medical Assistance', 'Social Security', 'Unorganised Worker']",bihar shatabdi asangathit karyakshetra kamagaar evan shilpakar samajik suraksha yojana medical assistance for incurable diseases medical assistance for incurable diseases under the bihar shatabdi asangathit karyakshetra kamagaar evan shilpakar samajik suraksha yojana by the labour resources dept provides financial assistance ranging from 7500 to 30000 to workers or craftsmen suffering from incurable diseases craftsmen incurable diseases medical assistance social security unorganised worker
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,"The component “Accidental Death” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Department, Bihar, provides financial assistance of ₹1,00,000/- to the families of workers or craftsmen in case of accidental death.","['Craftsmen', 'Social Security', 'Unorganised Worker']",bihar shatabdi asangathit karyakshetra kamagaar evan shilpakar samajik suraksha yojana accidental death the component accidental death under the bihar shatabdi asangathit karyakshetra kamagaar evan shilpakar samajik suraksha yojana launched by the labour resources department bihar provides financial assistance of 100000 to the families of workers or craftsmen in case of accidental death craftsmen social security unorganised worker
Burial and Ex-gratia Payment Scheme in Case of Death of Unregistered Laborer During Work at Construction Site,"Launched in 2014, the ""Funeral and Ex-gratia Payment Scheme for Unregistered Laborers"" is a welfare scheme by the M.P. Building and Other Construction Workers Welfare Board, Government of Madhya Pradesh, providing funeral assistance and ex-gratia payments in case of death or permanent disability.","['Building Worker', 'Construction Workers', 'Death', 'Unregistered Laborer']",burial and exgratia payment scheme in case of death of unregistered laborer during work at construction site launched in 2014 the funeral and exgratia payment scheme for unregistered laborers is a welfare scheme by the mp building and other construction workers welfare board government of madhya pradesh providing funeral assistance and exgratia payments in case of death or permanent disability building worker construction workers death unregistered laborer
Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme,"Launched in 2013, the ""Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme"" provides permanent houses to registered construction workers in rural areas of Madhya Pradesh.","['Construction', 'Financial Assistance', 'Housing', 'Labour', 'Worker']",chief ministers building and other construction workers housing rural scheme launched in 2013 the chief ministers building and other construction workers housing rural scheme provides permanent houses to registered construction workers in rural areas of madhya pradesh construction financial assistance housing labour worker
Maternity Support Scheme (MPBOCWWB),"The ""Maternity Support Scheme"" by the MPBOCW Welfare Board, Labour Department, Government of Madhya Pradesh provides an amount of ₹16,000/- as maternity allowance, payable in two installments.","['Building Worker', 'Construction Workers', 'Financial Assistance', 'Labour', 'Maternity']",maternity support scheme mpbocwwb the maternity support scheme by the mpbocw welfare board labour department government of madhya pradesh provides an amount of 16000 as maternity allowance payable in two installments building worker construction workers financial assistance labour maternity
Senior Hostel (Scheduled Tribes),"Launched on 1st January 1966, the scheme ""Senior Hostel (Scheduled Tribes)"" by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh provides free accommodation and mess facilities to students from studying in Class 9th to 12th in a government/recognized school.","['Hostel', 'Meal', 'Scheduled Tribe', 'Scholarship', 'Student']",senior hostel scheduled tribes launched on 1st january 1966 the scheme senior hostel scheduled tribes by the tribal welfare and scheduled caste sc department government of madhya pradesh provides free accommodation and mess facilities to students from studying in class 9th to 12th in a governmentrecognized school hostel meal scheduled tribe scholarship student
"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","This scheme aims to support SC/ST and women entrepreneurs who have initiated production on or after 27-3-2002 in a rented building. It provides rent subsidy for the first five years from the commencement of commercial production on a tapering basis, with a max ceiling of ₹5,000 per month.","['Building', 'Entrepreneur', 'Industry', 'Rent', 'Subsidy']",rent subsidy under motivation of entrepreneurs to start industries and fiscal assistance to industries this scheme aims to support scst and women entrepreneurs who have initiated production on or after 2732002 in a rented building it provides rent subsidy for the first five years from the commencement of commercial production on a tapering basis with a max ceiling of 5000 per month building entrepreneur industry rent subsidy
Jharkhand State Backward Classes Pre-Matric Scholarship Scheme,"The ""Jharkhand State Backward Classes Pre-Matric Scholarship Scheme"" aims to enhance educational opportunities and participation among students belonging to backward classes in Jharkhand. It provides financial assistance to reduce dropout rates from classes 1 to 10 and promote equality in education.","['Financial Assistance', 'Other Backward Class', 'Pre-Matric', 'Scholarship']",jharkhand state backward classes prematric scholarship scheme the jharkhand state backward classes prematric scholarship scheme aims to enhance educational opportunities and participation among students belonging to backward classes in jharkhand it provides financial assistance to reduce dropout rates from classes 1 to 10 and promote equality in education financial assistance other backward class prematric scholarship
Chief Minister Drought Relief Scheme,"The Chief Minister Drought Relief Scheme aims to provide relief and financial assistance to families affected by drought in designated areas. The scheme ensures financial security, livelihood support, and basic resources for drought-hit communities.","['Drought', 'Farmer', 'Financial Assistance']",chief minister drought relief scheme the chief minister drought relief scheme aims to provide relief and financial assistance to families affected by drought in designated areas the scheme ensures financial security livelihood support and basic resources for droughthit communities drought farmer financial assistance
Cash Award to Top Ranking Holders in Public Examinations,"Through the ""Cash Award to Top Ranking Holders in Public Examinations"" scheme, cash awards of ₹50,000/-, ₹30,000/- and ₹20,000/- are granted to the 1st, 2nd and 3rd Rank Holders respectively from SSLC/ SSC/ HSC Exam, and Intermediate (2nd Year) Public Examinations.","['Award', 'Cash', 'College', 'Exam', 'Rank', 'Scholarship', 'School']",cash award to top ranking holders in public examinations through the cash award to top ranking holders in public examinations scheme cash awards of 50000 30000 and 20000 are granted to the 1st 2nd and 3rd rank holders respectively from sslc ssc hsc exam and intermediate 2nd year public examinations award cash college exam rank scholarship school
Ashram Schools (Scheduled Tribes),"The scheme ""Ashram Schools"" was launched on 1st January 1966 by the Tribal Welfare and Scheduled Caste (SC) Department of Madhya Pradesh. The scheme provides free accommodation, mess, and education facilities to Scheduled Tribe students.","['Education', 'Hostel', 'Scheduled Tribe', 'Student']",ashram schools scheduled tribes the scheme ashram schools was launched on 1st january 1966 by the tribal welfare and scheduled caste sc department of madhya pradesh the scheme provides free accommodation mess and education facilities to scheduled tribe students education hostel scheduled tribe student
